Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Cluster
"-3,733565644","-0,655345144","-1,916722413","-0,132013699","-0,344148389","-0,00646455",5
"-3,749559522","-0,715028638","-1,982666738","-0,008024292","-0,199680565","-0,074742306",5
"-3,723659661","-0,7686281","-3,261325569","1,1667317517","1,128265451","-0,680327605",4
"-3,747954839","-0,867293257","-3,150629105","1,1894654081","1,1988561572","-0,681482731",4
"-3,633802262","-0,731697039","-3,240687497","1,1304522878","1,0920025029","-0,657468595",4
"-3,662188662","-0,793178124","-3,176742615","1,159377425","1,1493824335","-0,66869086",4
"-3,661735643","-0,516712883","-1,932165031","-0,263940786","-0,508711225","0,0709455596",5
"-3,643804904","-0,453490004","-1,995684767","-0,29328583","-0,580490029","0,0751596137",5
"-3,709811276","-0,456133293","-2,011714216","-0,293315986","-0,632772122","0,0506449298",5
"-3,677625565","-0,401684364","-2,13504932","-0,414870184","-0,707478765","0,1607970048",5
"-3,739230363","-0,63051892","-2,03123043","-0,228356237","-0,394747689","0,0885893948",5
"-3,777312681","-0,696077196","-1,84175889","-0,292927532","-0,409963007","0,1409428667",5
"-3,703267853","-0,555326015","-1,999942164","-0,361699136","-0,590302087","0,1447191908",5
"-3,739237988","-0,609060251","-1,939574415","-0,33409168","-0,516369526","0,1444828443",5
"-3,652263869","-0,610985751","-1,918246753","-0,327809084","-0,462431374","0,1622314295",5
"-3,730662077","-0,650051529","-1,899170786","-0,317867374","-0,491650298","0,133888612",5
