r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,267512,68104,8088,424392,0,0,0,16,677,375,1,10,86,3,0
1,0,267512,68104,8088,424396,0,0,0,0,628,348,2,11,86,0,0
0,0,267512,68104,8088,424400,0,0,0,0,742,385,2,11,86,0,0
0,0,267512,68104,8088,424404,0,0,0,0,568,382,2,9,89,0,0
0,0,267512,68104,8088,424404,0,0,0,0,615,369,0,9,91,0,0
2,0,267512,68104,8096,424408,0,0,0,16,588,342,0,9,90,1,0
0,0,267512,68104,8096,424412,0,0,0,0,625,387,2,11,87,0,0
0,0,267512,68104,8096,424416,0,0,0,64,616,367,0,11,89,0,0
0,0,267512,68104,8096,424416,0,0,0,0,349,366,3,4,93,0,0
0,0,267512,68104,8096,424420,0,0,0,0,341,353,1,5,94,0,0
1,0,266232,84080,8104,424416,8,0,8,36,526,561,7,10,79,3,0
0,0,266232,84080,8104,424420,0,0,0,0,542,344,0,10,90,0,0
0,0,266232,83832,8104,424420,0,0,0,8,705,376,1,11,88,0,0
0,0,266232,83832,8104,424424,0,0,0,0,521,380,1,7,92,0,0
0,0,266232,83832,8104,424428,0,0,0,0,379,361,1,7,92,0,0
0,0,266232,83832,8112,424432,0,0,0,32,512,351,0,8,91,1,0
0,0,266232,83832,8112,424432,0,0,0,0,475,346,2,6,92,0,0
0,0,266232,83832,8112,424436,0,0,0,0,708,407,2,13,85,0,0
1,0,266232,83832,8112,424440,0,0,0,32,665,388,3,11,86,0,0
0,0,266232,83832,8112,424444,0,0,0,0,754,387,4,9,86,0,0
0,0,266232,83832,8120,424444,0,0,0,16,453,340,0,6,92,2,0
0,0,266232,83832,8120,424448,0,0,0,0,499,345,2,8,90,0,0
0,0,266232,83832,8120,424452,0,0,0,0,549,393,0,10,90,0,0
0,0,266232,83832,8120,424456,0,0,0,0,507,355,1,7,92,0,0
2,0,266232,83832,8120,424456,0,0,0,0,618,363,1,11,88,0,0
0,0,266232,83832,8128,424460,0,0,0,16,628,400,1,13,85,1,0
0,0,266232,83832,8128,424464,0,0,0,0,516,386,0,10,90,0,0
0,0,266232,83832,8128,424468,0,0,0,0,632,352,0,9,91,0,0
0,0,266232,83832,8128,424468,0,0,0,244,533,364,1,6,93,0,0
0,0,266232,83832,8128,424472,0,0,0,0,632,345,2,7,91,0,0
0,0,266232,83832,8136,424476,0,0,0,28,831,398,1,15,82,2,0
0,0,266232,83832,8136,424480,0,0,0,0,519,348,1,7,92,0,0
0,0,266232,83832,8136,424480,0,0,0,0,406,338,1,4,95,0,0
0,0,266232,83832,8136,424484,0,0,0,0,495,363,1,7,92,0,0
0,0,266232,83832,8136,424488,0,0,0,0,757,384,2,12,86,0,0
0,0,266232,83832,8144,424492,0,0,0,16,688,377,1,13,82,3,0
0,0,266232,83832,8144,424496,0,0,0,0,483,360,1,8,91,0,0
1,0,266232,83832,8144,424496,0,0,0,0,745,379,1,14,85,0,0
0,0,266232,83832,8144,424500,0,0,0,0,411,344,1,9,90,0,0
0,0,266232,83832,8144,424504,0,0,0,0,406,365,2,5,93,0,0
3,0,266232,83832,8152,424508,0,0,0,16,321,397,1,4,91,4,0
1,0,266232,83832,8152,424508,0,0,0,0,325,377,2,3,95,0,0
0,0,266232,83832,8152,424512,0,0,0,0,798,403,1,15,84,0,0
0,0,266232,83832,8152,424516,0,0,0,0,403,370,1,8,91,0,0
1,0,266232,83832,8152,424524,0,0,0,0,485,358,1,10,89,0,0
0,0,266232,83832,8160,424524,0,0,0,16,405,364,2,7,89,2,0
0,0,266232,83832,8160,424528,0,0,0,0,488,381,2,9,89,0,0
0,0,266232,83832,8160,424532,0,0,0,0,598,372,2,9,89,0,0
0,0,266232,83832,8160,424536,0,0,0,0,513,340,0,8,92,0,0
0,0,266232,83832,8160,424536,0,0,0,0,291,299,1,3,96,0,0
0,0,266232,83832,8168,424540,0,0,0,16,557,446,1,9,88,2,0
0,0,266232,83832,8168,424580,0,0,52,0,346,406,2,3,95,0,0
