r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
2,0,249008,67916,9952,436360,0,0,0,16,7245,810,5,83,13,0,"2,0192651865","-1,163090105","0,0545993588","-0,528747589","-0,638824002","0,5189903943","0,9109803833","0,3095588969"
5,0,249008,67916,9952,436364,0,0,0,0,8047,716,4,78,18,0,"2,0705575222","-0,924019403","0,0272992361","-0,170960573","-1,12705437","0,1283036028","0,8385405932","-0,541236177"
0,0,249008,67916,9952,436368,0,0,0,0,6023,717,3,66,30,0,"0,7612005984","-1,23187543","0,3382592961","-0,65852613","-0,747701851","-0,200150591","0,6267791606","0,8351556773"
6,0,249008,67916,9952,436368,0,0,0,84,7798,710,3,78,19,0,"2,0935389681","-0,714894454","0,0307055111","-0,072322919","-1,308235953","-0,247778367","0,75048077","-0,824005469"
2,0,249008,67916,9952,436376,0,0,0,0,6975,696,2,69,29,0,"1,0886113743","-1,099644946","0,2097567742","-0,334600487","-0,993080303","-0,586568278","0,5118378242","0,2965728575"
5,0,249008,67916,9952,436376,0,0,0,0,5724,623,4,61,35,0,"1,0305348193","-0,73401759","0,4270788367","-0,388520586","-1,463630053","0,1783154825","0,9759720096","-0,662679825"
0,0,249008,67916,9960,436380,0,0,0,16,7423,820,3,85,13,0,"1,7263839987","-1,352866788","-0,003137225","-0,475837746","-0,447255592","-0,228699985","0,5366874765","0,9287157774"
1,0,249008,67916,9960,436380,0,0,0,0,5769,623,1,62,37,0,"0,3434428515","-1,092416151","0,385771319","-0,419602681","-1,082618259","-0,951274177","0,3782661629","0,5511259655"
8,0,249008,67916,9960,436384,0,0,0,96,5244,740,14,68,18,0,"2,6106045044","-0,427253226","0,5106809817","-1,203978533","-1,239508514","3,8538091024","2,5250883359","-1,623727681"
1,0,249008,66124,9960,436388,0,0,0,0,7818,834,5,85,11,0,"2,1645525784","-1,414032351","0,0388754356","-0,600782149","-0,485801725","0,450105752","0,8163361518","0,7016671523"
2,0,249008,66124,9960,436392,0,0,0,0,7726,706,3,76,21,0,"1,5753812722","-1,270759313","0,1258862841","-0,391511981","-0,864855939","-0,313961706","0,5577335483","0,4175299049"
1,0,249008,66124,9968,436396,0,0,0,28,6603,685,2,71,25,1,"1,0649182679","-1,220559468","0,4242613796","-0,384076618","-0,812444998","-0,652339732","0,3949296324","0,6838821717"
3,0,249008,66124,9968,436404,32,0,32,0,5827,696,5,65,30,0,"1,2469210536","-1,049055888","0,5303590862","-0,626106516","-0,957472694","0,4150762952","1,1773845862","0,0013840556"
2,0,249008,66124,9968,436404,0,0,0,8,7766,842,3,86,11,0,"2,189919591","-1,297106615","-0,005050487","-0,305358193","-0,699799672","-0,260493588","0,5910924181","0,4201956081"
1,0,249008,66124,9968,436408,0,0,0,0,7255,721,4,71,25,0,"1,3545731219","-1,334293175","0,2487424499","-0,639784617","-0,753737818","0,0697201742","0,7022730125","0,6681615024"
0,0,249008,66124,9968,436412,0,0,0,0,7471,774,2,77,20,0,"1,4191644122","-1,443052197","0,1232414215","-0,454303917","-0,622909593","-0,651491103","0,3772389892","0,99611844"
1,0,249008,66124,9976,436412,0,0,0,24,7350,691,4,73,23,0,"1,3636979014","-1,320212293","0,2191015796","-0,648331973","-0,740429045","0,0360081477","0,668713858","0,692319593"
0,0,249008,66124,9976,436416,0,0,0,0,4692,576,2,51,47,0,"-0,20517557","-1,199155119","0,6841015044","-0,776441403","-1,12789029","-0,63016789","0,5158618664","0,8508866419"
0,0,249008,66124,9976,436420,0,0,0,0,3516,481,2,36,61,0,"-1,013102209","-1,086093919","0,9650052475","-0,940712921","-1,378023951","-0,618548403","0,5829931734","0,7799760095"
1,0,249008,66124,9976,436424,0,0,0,0,6633,759,4,78,19,0,"1,5412449082","-1,316004256","0,2126643781","-0,60056551","-0,708351376","0,0934997753","0,7279443823","0,6611670211"
1,0,249008,66124,9976,436428,0,0,0,0,7897,779,4,78,18,0,"1,7844882048","-1,395942515","0,1112290041","-0,559973573","-0,625277502","0,0691654637","0,6741188331","0,7020109734"
1,0,249008,66124,9984,436428,0,0,0,16,6697,684,4,75,21,0,"1,3087707947","-1,295426732","0,2453621467","-0,643728382","-0,763144611","0,0482573147","0,6900598963","0,6781242377"
1,0,249008,66124,9984,436432,0,0,0,0,7490,818,11,78,10,0,"2,3741257921","-1,43491504","0,2409071656","-1,289587586","-0,274749513","2,6307941863","1,6656965724","0,6341170263"
1,0,249008,66124,9984,436500,0,0,64,72,4527,680,4,52,42,2,"0,3911511143","-0,981884162","1,0425846766","-0,766094399","-0,942578406","0,1622150488","0,8113125463","0,5351042969"
1,0,249008,66124,9984,436500,0,0,0,0,2714,446,0,36,64,0,"-1,255242318","-0,925104094","1,0022391009","-0,67784711","-1,680601148","-1,329496471","0,3845987685","0,4784977828"
2,0,249008,66124,9984,436504,0,0,0,0,6755,762,4,85,11,0,"1,9058935302","-1,250419004","0,1059379403","-0,446494809","-0,764074533","0,0847122041","0,7425551783","0,4003034056"
2,0,249008,64108,9992,436508,0,0,0,28,7836,835,2,88,10,0,"2,2589013518","-1,390427617","0,0128804181","-0,247765976","-0,773914966","-0,705116972","0,4112912796","0,5311955424"
1,0,249008,64108,9992,436512,0,0,0,0,7614,798,1,85,14,0,"1,8450195109","-1,483655135","0,0576828621","-0,237912441","-0,758406285","-1,075871059","0,2350817476","0,8211502841"
3,0,249008,64108,9992,436516,0,0,0,0,6334,675,1,70,29,0,"1,1872713797","-1,173776839","0,344103521","-0,237178663","-1,292933979","-1,056563153","0,3846567909","0,157936375"
2,0,249008,64108,9992,436516,0,0,0,0,6635,796,2,77,20,0,"1,6842511277","-1,318358758","0,2422945843","-0,34620236","-0,964797772","-0,659042037","0,4977961318","0,4539307013"
1,0,249008,64108,9992,436520,0,0,0,0,6995,726,2,69,28,0,"1,219885316","-1,411829379","0,323832872","-0,497339954","-0,927420364","-0,703320115","0,4279497428","0,7530967784"
1,0,249008,64108,10000,436524,0,0,0,16,5412,634,2,63,34,1,"0,6154344464","-1,253150552","0,6912255752","-0,528896307","-1,03705011","-0,69260407","0,4379525709","0,7103270394"
0,0,249008,64108,10000,436524,0,0,0,0,5678,621,1,61,37,0,"0,3551049787","-1,394004293","0,5214159885","-0,596114174","-1,048206268","-1,081552048","0,285670603","1,0091730035"
3,0,249008,64108,10000,436528,0,0,0,0,3224,512,0,51,49,0,"-0,264495137","-0,92107225","0,8185212864","-0,397488821","-1,776008201","-1,382163377","0,3929827091","0,0271308338"
1,0,249008,64108,10000,436532,0,0,0,0,4584,618,5,56,39,0,"0,4650988157","-1,252406604","0,7295125606","-1,00034775","-1,0936769","0,413940325","0,9524413206","0,6276259806"
0,0,249008,66524,8904,425136,0,0,0,0,7260,855,2,89,8,0,"1,6316821096","-1,166582336","-0,519859853","-0,088554613","0,5379324729","-0,365806117","-0,383648334","0,5085596668"
1,0,249008,65852,8912,425112,0,0,0,16,7774,609,0,78,22,0,"0,8005781166","-1,069828557","-0,420797162","0,0721371795","0,0961905251","-1,23905332","-0,743962743","0,2979900202"
6,2,249008,72372,8880,438944,0,0,13940,0,5192,687,3,69,13,15,"3,4019881941","4,1700907869","6,4718571018","5,2665345875","-2,585043944","1,8588664772","-1,934299988","1,1326271508"
14,1,249008,74852,8020,425484,0,4,13060,4,6237,1060,0,100,0,0,"4,8649174312","3,6531265842","1,7877407402","4,3102873452","-2,719823719","0,1355146463","-1,077318484","-3,805837205"
4,0,249264,64384,7972,428796,0,260,5072,260,7157,976,3,91,6,0,"3,198467264","0,5957588433","-0,052751201","0,5092263392","-0,507085511","-0,34333127","0,2102490855","-0,964766221"
1,0,249264,64384,7972,428800,0,0,0,0,7092,855,1,85,13,0,"1,6685963238","-0,901254988","-0,743071104","0,3552763381","0,0552892128","-0,821566939","-0,085956857","0,5310165806"
2,0,249264,64384,7980,428804,0,0,0,16,6850,775,4,68,28,0,"1,3042278615","-0,755329167","-0,453228822","-0,050147266","-0,145323641","0,2646957545","0,4063142451","0,1629735715"
3,0,249264,64384,7980,428808,0,0,0,0,4875,647,3,59,38,0,"0,5018329982","-0,52044398","-0,203783194","0,0156183347","-0,584523357","-0,078956126","0,3819860771","-0,19866716"
