r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
2,0,250432,67804,17048,427328,0,0,40,0,7362,743,1,87,12,0,"0,9515436856","-1,401801049","0,3472150812","-0,36400665","-0,98961216","0,8975668251","0,270158957","-0,397738741"
0,0,250432,67804,17048,427332,0,0,0,0,7418,689,3,81,16,0,"0,5726013449","-1,348765248","0,1830446272","-0,474006798","-0,930009065","0,9521522064","0,1940696206","-0,224135457"
1,0,250432,67804,17056,427324,0,0,0,28,7406,737,1,83,16,0,"0,6980784618","-1,220662022","0,4838563656","-0,544143906","-1,167986358","0,8704134836","0,3202395408","-0,371736885"
3,0,250432,67552,17056,427332,0,0,0,0,7534,571,3,69,27,0,"0,2712723091","-1,145265696","-0,098860286","-0,53492028","-0,136818916","1,114110661","0,0153580757","-0,360626063"
3,0,250432,63524,17056,431060,12,0,3728,0,4661,806,3,70,15,12,"1,0392974395","1,0510058622","-0,226957845","1,0938052586","-0,985733064","0,5431359298","-1,33271239","-1,171230071"
0,0,250432,63524,17056,431060,0,0,0,64,3642,721,5,67,28,0,"-0,249742909","0,0329399186","-0,476654881","-1,060009565","-0,379928326","0,2645381905","-0,142622978","0,1191205793"
1,0,250432,63524,17056,431068,0,0,0,0,3203,565,2,41,57,0,"-1,759863397","0,082022919","-0,917798332","-0,813301537","-0,366797309","0,2833428046","-0,270423647","-0,350512882"
0,0,250432,63524,17064,431072,0,0,0,36,2370,627,2,54,44,0,"-1,402263038","0,1471433827","-0,58381112","-0,916274524","-0,726569093","0,1835354711","-0,13706581","-0,223287001"
1,0,250432,63524,17064,431072,0,0,0,0,2127,537,3,40,56,0,"-1,943265737","0,2131686309","-1,06019643","-0,825551577","-0,09994825","0,361075523","-0,380895501","-0,286934938"
0,0,250432,63524,17064,431076,0,0,0,0,3001,605,5,60,35,0,"-0,90530587","-0,183132506","-0,918785571","-0,770067392","-0,196602765","0,3197719899","-0,281045958","0,0352485873"
0,0,250432,63524,17064,431076,0,0,0,0,3892,617,2,54,43,0,"-1,176272615","-0,228414726","-0,684223444","-0,738376591","-0,77976362","0,1651809552","-0,104344729","-0,220048152"
1,0,250432,63524,17064,431084,0,0,0,0,2602,548,2,46,51,0,"-1,707526058","0,0425482107","-0,886557431","-0,771237817","-0,393439031","0,268811474","-0,253073691","-0,312535168"
1,0,250432,63524,17072,431076,0,0,0,28,2204,518,5,41,52,2,"-1,733026207","0,4804364807","-1,058458953","-0,908884461","0,1791122707","0,5518883469","-0,519336886","-0,041421238"
1,0,250432,63524,17072,431088,0,0,0,0,3187,578,4,57,39,0,"-1,016562745","-0,16250882","-0,898076105","-0,75288178","-0,145991932","0,3191017612","-0,266733698","-0,082606573"
2,0,250432,63524,17072,431092,0,0,0,0,4432,658,6,62,32,0,"-0,188468021","-0,287189585","-0,971967838","-0,762692742","0,3272662036","0,4287500947","-0,339962139","0,0884430259"
0,0,250432,63524,17072,431096,0,0,0,0,3105,592,4,54,42,0,"-1,223011097","-0,114880018","-0,893308042","-0,776493135","-0,325850246","0,2878468232","-0,259115887","-0,082361206"
1,0,250432,63524,17072,431096,0,0,0,0,2666,483,3,41,56,0,"-1,953079653","0,1097440296","-1,032152011","-0,82383202","-0,107966945","0,3478591521","-0,341632936","-0,276924573"
3,0,250432,63524,17080,431108,0,0,0,16,3686,628,4,66,30,0,"-0,280548375","-0,219845524","-0,75961602","-0,759607233","0,1332561526","0,3524100886","-0,234554786","-0,052834239"
1,0,250432,63524,17080,431108,0,0,0,0,2923,577,4,46,49,0,"-1,451442787","0,0538273383","-1,021031553","-0,802266016","-0,011379592","0,370765031","-0,361019902","-0,161401461"
1,0,250432,63524,17080,431116,0,0,0,0,2825,521,2,43,54,0,"-1,853097023","0,051908585","-0,902950249","-0,77775081","-0,354063365","0,2762426973","-0,259689103","-0,33123603"
4,0,250432,63524,17080,431116,0,0,0,20,3720,573,0,54,46,0,"-1,031373059","-0,066814478","-0,585894868","-0,754699154","-0,303085408","0,2291859753","-0,108236799","-0,459907638"
1,0,250432,63524,17080,431120,0,0,0,0,3344,601,2,61,37,0,"-0,975872664","-0,274991569","-0,671918676","-0,6781431","-0,603743379","0,1821759981","-0,108520663","-0,201238696"
0,0,250432,63524,17088,431124,0,0,0,28,3410,609,4,54,42,0,"-1,135725187","0,0074304503","-0,725841893","-0,906628499","-0,353466958","0,2743918185","-0,213184425","-0,066466626"
0,0,250432,63524,17088,431124,0,0,0,0,2608,520,3,49,49,0,"-1,753269651","-0,026416565","-0,89733781","-0,77519854","-0,410331505","0,262552731","-0,249417548","-0,201084604"
1,0,250432,63524,17088,431132,0,0,0,0,2858,568,3,51,45,0,"-1,393589161","-0,052137805","-0,883693298","-0,744935673","-0,259296928","0,2909065672","-0,261535255","-0,198680797"
